Title,Author,Average Rating,Rating,Year Published
Self-Help,Lorrie Moore,4.14,"3,786",1985
What's Our Problem?: A Self-Help Book for Societies,Tim Urban,4.28,"3,397",2023
Parenting from the Inside Out: How a Deeper Self-Understanding Can Help You Raise Children Who Thrive,Daniel J. Siegel,4.16,"4,799",2003
How to Be Fine: What We Learned from Living by the Rules of 50 Self-Help Books,Jolenta Greenberg,3.54,"4,414",2020
Get Out of Your Mind and Into Your Life: The New Acceptance and Commitment Therapy (A New Harbinger Self-Help Workbook),Steven C. Hayes,4.06,"3,056",2005
"Tired as F*ck: Burnout at the Hands of Diet, Self-Help, and Hustle Culture",Caroline Dooner,3.46,"2,219",2022
Hardcore Self Help: F**k Anxiety,Robert Duff,3.96,"3,490",2014
"You Mean I'm Not Lazy, Stupid or Crazy?!: A Self-help Book for Adults with Attention Deficit Disorder",Kate   Kelly,3.92,"2,831",1993
Getting Past Your Past: Take Control of Your Life with Self-Help Techniques from EMDR Therapy,Francine Shapiro,4.09,"2,742",2012
Lost in the Cosmos: The Last Self-Help Book,Walker Percy,4.06,"2,649",1983
Help Me!: One Woman’s Quest to Find Out if Self-Help Really Can Change Her Life,Marianne Power,3.89,"5,968",2018
"Accessing the Healing Power of the Vagus Nerve: Self-Help Exercises for Anxiety, Depression, Trauma, and Autism",Stanley D. Rosenberg,3.86,"1,523",2017
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works--A True Story",Dan   Harris,3.92,"6,334",2014
Loving Bravely: Twenty Lessons of Self-Discovery to Help You Get the Love You Want,Alexandra H. Solomon,4.18,"1,096",2017
The Power of Your Subconscious Mind (GP Self-Help Collection Book 4),Joseph Murphy,4.08,"4,927",1963
The Intuitive Eating Workbook: Ten Principles for Nourishing a Healthy Relationship with Food (A New Harbinger Self-Help Workbook),Evelyn Tribole,4.33,"1,139",2017
How to overcome self-limiting beliefs,Self-Help Psychology Guides,3.60,45,2010
Self Motivation Secrets of Successful People Revealed,Self-Help Psychology Guides,4.13,38,2010
Og Mandino's University of Success: The Greatest Self-Help Author in the World Presents the Ultimate Success Book,Og Mandino,4.35,"1,053",1980
The Richest Man in Babylon: 9789387669369 (GP Self-Help Collection Book 1),George S. Clason,4.25,"4,943",1926
Slay Like a Mother: How to Destroy What's Holding You Back So You Can Live the Life You Want (Inspirational Self-Help Book for Busy Moms to Become Your Best Self as a Mom and as a Woman),Katherine Wintsch,4.07,655,0
Hardcore Self Help: F**k Depression,Robert Duff,4.13,818,0
"The Essential Self-Help Guide Stress and Anxiety Relief: How to Overcome Anxiety, Stress and Worry for Stress-Free Living Forever",Brene Brown,3.95,57,2014
A Better Encouragement: Trading Self-Help for True Hope,Lindsey Carlson,3.99,75,2022
Poe for Your Problems: Uncommon Advice from History's Least Likely Self-Help Guru,Catherine Baab-Muguira,3.91,262,0
"Making Space, Clutter Free: The Last Book on Decluttering You'll Ever Need (Tidy Up Your Home, Find Personal Purpose, and Enjoy Inner Confidence, Self Help Book)",Tracy McCubbin,3.95,"1,375",2019
The Plus: Self-Help for People Who Hate Self-Help,Greg Gutfeld,4.02,997,2020
The Assertiveness Workbook: How to Express Your Ideas and Stand Up for Yourself at Work and in Relationships (A New Harbinger Self-Help Workbook),Randy J. Paterson,4.15,729,2000
"The 30-Day Money Cleanse: Take Control of Your Finances, Manage Your Spending, and De-Stress Your Money for Good (Personal Finance and Budgeting Self-Help Book)",Ashley Feinstein Gerstley,3.21,"1,131",0
How to Be Happy: Not a Self-Help Book. Seriously.,Iain S. Thomas,4.04,670,2015
The Power of Will-Power,Self-Help Psychology Guides,3.96,23,2010
"Summary Book: Act Like a Lady, Think Like a Man - Steve Harvey",Self-help Summaries,3.83,36,2012
50 Self-Help Classics: 50 Inspirational Books to Transform Your Life from Timeless Sages to Contemporary Gurus,Tom Butler-Bowdon,3.92,902,2003
Small Habits Revolution: 10 Steps To Transforming Your Life Through The Power Of Mini Habits! (Self-Help Books for Busy People Book 1),Damon Zahariades,4.00,517,2016
"Helping Me Help Myself: One Skeptic, Ten Self-Help Gurus, and a Year on the Brink of the Comfort Zone",Beth Lisick,3.40,"1,092",2008
The Borderline Personality Disorder Workbook: An Integrative Program to Understand and Manage Your BPD (A New Harbinger Self-Help Workbook),Daniel J. Fox,4.35,281,0
A Mindfulness-Based Stress Reduction Workbook (A New Harbinger Self-Help Workbook),Bob Stahl,4.13,725,2010
Promise Land: My Journey Through America's Self-Help Culture,Jessica Lamb-Shapiro,3.51,491,2014
"Anxiety: Panicking about Panic: A Powerful, Self-Help Guide for Those Suffering from an Anxiety or Panic Disorder",Joshua Fletcher,3.98,"1,057",2014
"Dark Psychology and Manipulation: The Best Mind Control and Persuasion Techniques, Learn to Recognize Body Language, and Use the Secrets of Emotional Intelligence to Your Advantage",Psycology and Self-Help Academy,3.38,24,0
Self-Help for Your Nerves: Learn to Relax and Enjoy Life Again by Overcoming Stress and Fear,Claire Weekes,4.21,713,1981
"Dark Psychology and Manipulation: The Best Mind Control and Persuasion Techniques, Learn to Recognize Body Language, and Use the Secrets of Emotional Intelligence to Your Advantage",Psycology and Self-Help Academy,3.38,24,0
The Self Help Book: 6 Practical Ways to Never Stop Growing,Jared Graybeal,3.96,26,0
Positive Magic: Occult Self-Help,Marion Weinstein,4.19,333,1978
"Mindful Parenting for ADHD: A Guide to Cultivating Calm, Reducing Stress, and Helping Children Thrive (A New Harbinger Self-Help Workbook)",Mark Bertin,4.03,299,2015
"50 ""HOW TO"" books in 1: Personal Development, Self Improvement, Self Help, Business Skills, Life Skills, Relationships, Health, Money, Agriculture, Dating, And More",HTeBooks,3.64,33,2015
SELF HELP SLUT™: Starting With a Clean Slate,Katharine Branham,3.80,5,0
"45 Day Self-Improvement Handbook: 45 Daily Ideas, Habits, and Action-Plan for Becoming More Productive, Persuasive, Influential, Sociable and Self-Confident (Self-Help and Improvement Book 7)",A.V. Mendez,3.92,200,0
Self Help,Ben H. Winters,3.52,"1,055",2022
Let Go Now: Embrace Detachment as a Path to Freedom (Addiction Recovery and Al-Anon Self-Help Book),Karen Casey,4.19,495,2010
Let Go Now: Embrace Detachment as a Path to Freedom (Addiction Recovery and Al-Anon Self-Help Book),Karen Casey,4.19,495,2010
"The Joy Of Imperfection: 18 Simple Steps to Silencing Your Inner Critic, Overcoming Perfectionism, and Embracing Your Imperfect Life! (Self-Help Books for Busy People Book 2)",Damon Zahariades,4.01,270,0
Self-Help,Samuel Smiles,3.85,377,1859
"45 Day Self-Improvement Handbook: 45 Daily Ideas, Habits, and Action-Plan for Becoming More Productive, Persuasive, Influential, Sociable and Self-Confident (Self-Help and Improvement Book 7)",A.V. Mendez,3.92,200,0
Sham: How the Self-Help Movement Made America Helpless,Steve Salerno,3.43,400,2005
Think and Grow Rich: Self-help and Motivational book inspired by Andrew Carnegie's and other millionaires' sucess stories: The 13 Steps To Riches,Napoleon Hill,4.18,"4,980",1937
Breaking Negative Thinking Patterns: A Schema Therapy Self-Help and Support Book,Hannie van Genderen,3.95,"1,436",2012
The Art of Finding Joy Within,Self-Help Psychology Guides,3.25,12,2010
Yes You Can! - 50 Classic Self-Help Books That Will Guide You and Change Your Life,Napoleon Hill,4.22,37,0
Overcoming Depression 3rd Edition: A self-help guide using cognitive behavioural techniques,Paul A. Gilbert,3.86,454,1997
"Roadmap: The Get-It-Together Guide for Figuring Out What To Do with Your Life (Career Change Advice Book, Self Help Job Workbook)",Mike Marriner,3.95,22,0
Yes You Can! - 50 Classic Self-Help Books That Will Guide You and Change Your Life,Napoleon Hill,4.22,37,0
Yoga Self-Help Practice for Beginners: The Ultimate Illustrated Guide to 30-Days of Yoga Poses that Develop Flexibility & Core Strength On and Off the Mat,Karen  Elaine,3.25,4,0
Who Cares? A  Guided Self-Help & Devotional Journal for the Seasons of Life,Dr. Melita J. Murray-Carney,4.40,68,0
Summary Book - Quiet: The Power of Introverts in a World That Can't Stop Talking - Susan Cain,Self-help Summaries,4.00,36,2012
